image-1,image-2,t-im1,t-im2,t-diff,coord-1,coord-2,dist,vel
photo_06313.jpg,photo_07005.jpg,2022-01-15 11:05:18,2022-01-15 13:08:11,7373,"(972.5185546875, 549.5040893554688)","(1199.52001953125, 649.4400024414062)",41.337651577361555,0.0007091260235324412
photo_06313.jpg,photo_07464.jpg,2022-01-15 11:05:18,2022-01-15 14:36:23,12665,"(1117.9527587890625, 311.73681640625)","(1028.5057373046875, 389.83685302734375)",19.79084059514122,0.00019764275708436332
photo_06313.jpg,photo_07465.jpg,2022-01-15 11:05:18,2022-01-15 14:36:32,12674,"(972.5185546875, 549.5040893554688)","(1197.3798828125, 552.4071655273438)",37.48001124206765,0.0003740312310159947
photo_06314.jpg,photo_07003.jpg,2022-01-15 11:05:27,2022-01-15 13:07:54,7347,"(1117.9527587890625, 311.73681640625)","(1157.069091796875, 532.5006103515625)",56.050613413852616,0.000964921952441007
photo_06314.jpg,photo_07004.jpg,2022-01-15 11:05:27,2022-01-15 13:08:03,7356,"(1119.7442626953125, 310.54241943359375)","(1082.1209716796875, 186.32545471191406)",32.447425120794854,0.0005579051562368316
photo_06314.jpg,photo_07005.jpg,2022-01-15 11:05:27,2022-01-15 13:08:11,7364,"(1119.7442626953125, 310.54241943359375)","(1227.60009765625, 537.6000366210938)",83.79077293273492,0.001439144073945181
photo_06314.jpg,photo_07464.jpg,2022-01-15 11:05:27,2022-01-15 14:36:23,12656,"(1117.9527587890625, 311.73681640625)","(1086.8984375, 298.5984802246094)",6.743846820164668,6.739583958710709e-05
photo_06314.jpg,photo_07465.jpg,2022-01-15 11:05:27,2022-01-15 14:36:32,12665,"(1121.8177490234375, 313.1136474609375)","(1283.55859375, 273.7152404785156)",33.2940447080943,0.00033249354715197526
photo_0673.jpg,photo_0674.jpg,2023-05-08 15:30:30,2023-05-08 15:30:39,9,"(967.6801147460938, 300.6720275878906)","(940.0321044921875, 763.7760620117188)",1.8858886760351345,0.026503022193880423
photo_0673.jpg,photo_0675.jpg,2023-05-08 15:30:30,2023-05-08 15:30:48,18,"(1056.0, 37.20000076293945)","(999.6000366210938, 963.6000366210938)",5.764691211369181,0.04050656357855411
photo_0673.jpg,photo_0676.jpg,2023-05-08 15:30:30,2023-05-08 15:30:56,26,"(921.6000366210938, 282.0)","(904.3200073242188, 843.8400268554688)",6.3875647445960855,0.03107304572678896
photo_0673.jpg,photo_0677.jpg,2023-05-08 15:30:30,2023-05-08 15:31:05,35,"(1206.0, 968.4000244140625)","(549.5040893554688, 315.187255859375)",14.470418722074227,0.05229195885622709
photo_0673.jpg,photo_0678.jpg,2023-05-08 15:30:30,2023-05-08 15:31:14,44,"(1204.800048828125, 972.0000610351562)","(1270.080078125, 442.08001708984375)",6.067338373456428,0.017440839942608387
photo_0673.jpg,photo_0679.jpg,2023-05-08 15:30:30,2023-05-08 15:31:23,53,"(907.2000122070312, 220.32000732421875)","(1239.840087890625, 900.0000610351562)",6.817233228189619,0.01626874827738534
photo_0673.jpg,photo_0680.jpg,2023-05-08 15:30:30,2023-05-08 15:31:31,61,"(371.5200500488281, 608.2560424804688)","(917.568115234375, 713.6640625)",4.8783235798085895,0.010114924038921154
photo_0673.jpg,photo_0681.jpg,2023-05-08 15:30:30,2023-05-08 15:31:40,70,"(873.6000366210938, 865.2000122070312)","(279.4881896972656, 806.2159423828125)",13.884480660688043,0.025087273056626055
photo_0673.jpg,photo_0682.jpg,2023-05-08 15:30:30,2023-05-08 15:31:49,79,"(1292.5440673828125, 914.112060546875)","(264.0, 598.800048828125)",67.23688775755674,0.10764710839969337
photo_0673.jpg,photo_0683.jpg,2023-05-08 15:30:30,2023-05-08 15:31:57,87,"(858.2400512695312, 777.6000366210938)","(129.60000610351562, 805.2000122070312)",22.09583588224391,0.03212277382053115
photo_0673.jpg,photo_0684.jpg,2023-05-08 15:30:30,2023-05-08 15:32:06,96,"(907.2000122070312, 220.32000732421875)","(92.0, 573.0)",42.29617623518958,0.05572521218986226
photo_0673.jpg,photo_0685.jpg,2023-05-08 15:30:30,2023-05-08 15:32:15,105,"(856.0, 883.0)","(970.56005859375, 221.760009765625)",29.17784369652991,0.03514679686416289
photo_0673.jpg,photo_0686.jpg,2023-05-08 15:30:30,2023-05-08 15:32:23,113,"(855.6000366210938, 882.0000610351562)","(945.216064453125, 668.736083984375)",15.42185409690598,0.017261558461740427
photo_0674.jpg,photo_0675.jpg,2023-05-08 15:30:39,2023-05-08 15:30:48,9,"(1160.6400146484375, 375.84002685546875)","(1130.4000244140625, 836.6400146484375)",1.386760273747416,0.019488604380397023
photo_0674.jpg,photo_0676.jpg,2023-05-08 15:30:39,2023-05-08 15:30:56,17,"(1114.56005859375, 56.160003662109375)","(1058.4000244140625, 969.1200561523438)",9.942236327655234,0.07397023827775494
photo_0674.jpg,photo_0677.jpg,2023-05-08 15:30:39,2023-05-08 15:31:05,26,"(597.6000366210938, 882.7200317382812)","(197.0749969482422, 462.23046875)",8.934101677168876,0.04346096846647382
